chapter_id	file	en_title	no_title	status
0-0	0-0-endorsements.md	Endorsements	Anbefalinger	proposed
0-1	0-1-About-the-authors.md		Om forfatterne	translated
0-2	0-2-finding-your-dao.md	Finding Your Dao	Finn din Dao	translated
0-3	0-3-credits.md	Credits	Bidragsytere	proposed
1	1-preface.md	Seeing Plural	Se mangfold	translated
2-0	2-0-information-technology-and-democracy-a-widening-gulf.md	Information Technology and Democracy: a Widening Gulf	Informasjonsteknologi og demokrati: Et voksende gap	translated
2-1	2-1-a-view-from-yushan.md	A View From Yushan	Utsikt fra Yushan	translated
2-2	2-2-the-life-of-a-digital-democracy.md	The Life of a Digital Democracy	Livet i et digitalt demokrati	translated
3-0	3-0-what-is-⿻.md	What is ⿻?	Hva er ⿻?	translated
3-1	3-1-living-in-a-⿻-world.md	Living in a ⿻ World	Å leve i en ⿻ verden	translated
3-2	3-2-connected-society.md	Connected Society	Det sammenkoblede samfunnet	proposed
3-3	3-3-the-lost-dao.md	The Lost Dao	Den tapte Dao	proposed
4-0	4-0-rights-os-and-⿻-freedom.md	Rights, Operating Systems and ⿻ Freedom	Rettigheter, operativsystemer og ⿻ frihet	proposed
4-1	4-1-identity-and-personhood.md	Identity and Personhood	Identitet og personstatus	proposed
4-2	4-2-association-and-⿻-publics.md	Association and ⿻ Publics	Foreningsliv og ⿻ offentligheter	proposed
4-3	4-3-commerce-and-trust.md	Commerce and Trust	Handel og tillit	proposed
4-4	4-4-property-and-contract.md	Property and Contract	Eiendom og kontrakt	claimed
4-5	4-5-access.md	Access	Tilgang	proposed
5-0	5-0-collaborative-technology-and-democracy.md	Collaborative Technology and Democracy	Samarbeidsteknologi og demokrati	proposed
5-1	5-1-post-symbolic-communication.md	Post-Symbolic Communication	Post-symbolsk kommunikasjon	proposed
5-2	5-2-immersive-shared-reality.md	Immersive Shared Reality	Oppslukende delt virkelighet	proposed
5-3	5-3-creative-collaborations.md	Creative Collaborations	Kreative samarbeid	proposed
5-4	5-4-augmented-deliberation.md	Augmented Deliberation	Utvidet deliberasjon	claimed
5-5	5-5-adaptive-administration.md	Adaptive Administration	Adaptiv forvaltning	proposed
5-6	5-6-⿻-voting.md	⿻ Voting	⿻ Stemmegivning	claimed
5-7	5-7-social-markets.md	Social Markets	Sosiale markeder	claimed
6-0	6-0-from-⿻-to-reality.md	From ⿻ to Reality	Fra ⿻ til virkelighet	proposed
6-1	6-1-workplace.md	Workplace	Arbeidsplassen	proposed
6-2	6-2-health.md	Health	Helse	proposed
6-3	6-3-media.md	Media	Medier	proposed
6-4	6-4-environment.md	Environment	Miljø	proposed
6-5	6-5-learning.md	Learning	Læring	proposed
7-0	7-0-policy.md	Policy	Politikk	proposed
7-1	7-1-conclusion.md	Conclusion	Konklusjon	proposed
8	8-blurb.md	Description and Summaries	Omtale og sammendrag	proposed
