chapter_id	file	simplify	simplify_src	translate	translate_src
0-0	0-0-endorsements.md	todo		todo	
0-1	0-1-About-the-authors.md	done	7da4ba505a377aba1ee8fc254d8e887adbc1bd59	done	
0-2	0-2-finding-your-dao.md	done	76b3813f31a9c930eb0118a7f4345b44453387ab	done	
0-3	0-3-credits.md	todo		todo	
1	1-preface.md	done	7f55e234f9b2899b9123b84c6dcc5bbef2d2eca7	done	
2-0	2-0-information-technology-and-democracy-a-widening-gulf.md	stale	05fecf10ef07957ff4192a5b2e00b40ce960d201	done	
2-1	2-1-a-view-from-yushan.md	done	d85adb6408a746f5bdd2345e564cb448603ed323	done	
2-2	2-2-the-life-of-a-digital-democracy.md	stale	e3cd091661af3bb09c3bafd9059344b4ca55dbe0	done	
3-0	3-0-what-is-⿻.md	stale	543357182ee38175d3b1d88382f6754181686464	done	
3-1	3-1-living-in-a-⿻-world.md	stale	9b13fa17e77797dc9c3e278ac6a6724d960dcc25	done	
3-2	3-2-connected-society.md	todo		todo	
3-3	3-3-the-lost-dao.md	todo		todo	
4-0	4-0-rights-os-and-⿻-freedom.md	todo		todo	
4-1	4-1-identity-and-personhood.md	todo		todo	
4-2	4-2-association-and-⿻-publics.md	todo		todo	
4-3	4-3-commerce-and-trust.md	todo		todo	
4-4	4-4-property-and-contract.md	todo		todo	
4-5	4-5-access.md	todo		todo	
5-0	5-0-collaborative-technology-and-democracy.md	todo		todo	
5-1	5-1-post-symbolic-communication.md	todo		todo	
5-2	5-2-immersive-shared-reality.md	todo		todo	
5-3	5-3-creative-collaborations.md	todo		todo	
5-4	5-4-augmented-deliberation.md	todo		todo	
5-5	5-5-adaptive-administration.md	todo		todo	
5-6	5-6-⿻-voting.md	todo		todo	
5-7	5-7-social-markets.md	todo		todo	
6-0	6-0-from-⿻-to-reality.md	todo		todo	
6-1	6-1-workplace.md	todo		todo	
6-2	6-2-health.md	todo		todo	
6-3	6-3-media.md	todo		todo	
6-4	6-4-environment.md	todo		todo	
6-5	6-5-learning.md	todo		todo	
7-0	7-0-policy.md	todo		todo	
7-1	7-1-conclusion.md	todo		todo	
8	8-blurb.md	todo		todo	
